Year,st,State,Gini
1926,20,Maine,0.530280411
1926,21,Maryland,0.519688725
1926,22,Massachusetts,0.541411519
1926,23,Michigan,0.530382574
1926,24,Minnesota,0.48386699
1926,25,Mississippi,0.411901236
1926,26,Missouri,0.501052737
1926,27,Montana,0.3761338
1926,28,Nebraska,0.395772874
1926,29,Nevada,0.374529481
1926,30,New Hampshire,0.473819643
1926,31,New Jersey,0.510665417
1926,32,New Mexico,0.383579522
1926,33,New York,0.583842695
1926,34,North Carolina,0.477772593
1926,35,North Dakota,0.368446052
1926,36,Ohio,0.512257576
1926,37,Oklahoma,0.502278745
1926,38,Oregon,0.431978643
1926,39,Pennsylvania,0.530092955
1926,40,Rhode Island,0.546211898
1926,41,South Carolina,0.383408964
1926,42,South Dakota,0.358666003
1926,43,Tennessee,0.470571756
1926,44,Texas,0.454988599
1926,45,Utah,0.434502989
1926,46,Vermont,0.456517577
1926,47,Virginia,0.457461447
1926,48,Washington,0.382199764
1926,49,West Virginia,0.444367528
1926,50,Wisconsin,0.477001756
1926,51,Wyoming,0.378063351
1927,0,United States,0.5394454
1927,1,Alabama,0.454792589
1927,3,Arizona,0.421606004
1927,4,Arkansas,0.441536427
1927,5,California,0.510912538
1927,6,Colorado,0.48077023
1927,7,Connecticut,0.560083568
1927,8,Delaware,0.731057942
1927,9,District of Columbia,0.510492325
1927,10,Florida,0.503742576
1927,11,Georgia,0.469074965
1927,13,Idaho,0.330696732
1927,14,Illinois,0.531332195
1927,15,Indiana,0.487362415
1927,16,Iowa,0.424836278
1927,17,Kansas,0.411278188
1927,18,Kentucky,0.487124115
1927,19,Louisiana,0.447005868
1927,20,Maine,0.532689869
1927,21,Maryland,0.536508322
1927,22,Massachusetts,0.568895221
1927,23,Michigan,0.520504892
1927,24,Minnesota,0.50272733
1927,25,Mississippi,0.428153545
1927,26,Missouri,0.51394558
1927,27,Montana,0.393410891
1927,28,Nebraska,0.410819441
1927,29,Nevada,0.388536096
1927,30,New Hampshire,0.508975744
1927,31,New Jersey,0.523970008
1927,32,New Mexico,0.392512709
1927,33,New York,0.616197169
1927,34,North Carolina,0.514877796
1927,35,North Dakota,0.373682916
1927,36,Ohio,0.52468878
1927,37,Oklahoma,0.491587013
1927,38,Oregon,0.414224356
1927,39,Pennsylvania,0.545649648
1927,40,Rhode Island,0.566451907
1927,41,South Carolina,0.417324543
1927,42,South Dakota,0.371342868
1927,43,Tennessee,0.484536856
1927,44,Texas,0.446502328
1927,45,Utah,0.468515396
1927,46,Vermont,0.459081113
1927,47,Virginia,0.476555347
1927,48,Washington,0.382458329
1927,49,West Virginia,0.46861425
1927,50,Wisconsin,0.498993456
1927,51,Wyoming,0.379575342
1928,0,United States,0.570657492
1928,1,Alabama,0.507954836
1928,3,Arizona,0.482882887
1928,4,Arkansas,0.415461421
1928,5,California,0.541008651
1928,6,Colorado,0.500906825
1928,7,Connecticut,0.586796224
1928,8,Delaware,0.747416377
1928,9,District of Columbia,0.520945609
1928,10,Florida,0.565491796
1928,11,Georgia,0.478142798
1928,13,Idaho,0.344182104
1928,14,Illinois,0.563126385
1928,15,Indiana,0.493874967
1928,16,Iowa,0.477211058
1928,17,Kansas,0.42672503
1928,18,Kentucky,0.514894426
1928,19,Louisiana,0.46523279
1928,20,Maine,0.548787832
1928,21,Maryland,0.548064947
1928,22,Massachusetts,0.585208237
1928,23,Michigan,0.57883215
1928,24,Minnesota,0.546123862
1928,25,Mississippi,0.421452522
1928,26,Missouri,0.537052691
1928,27,Montana,0.424668908
1928,28,Nebraska,0.424627274
1928,29,Nevada,0.456738621
1928,30,New Hampshire,0.519171
1928,31,New Jersey,0.549278736
1928,32,New Mexico,0.414109915
1928,33,New York,0.650389373
1928,34,North Carolina,0.550142646
1928,35,North Dakota,0.376523286
1928,36,Ohio,0.559483945
1928,37,Oklahoma,0.503523111
1928,38,Oregon,0.443900645
1928,39,Pennsylvania,0.568220913
1928,40,Rhode Island,0.591891706
1928,41,South Carolina,0.434401274
1928,42,South Dakota,0.384560704
1928,43,Tennessee,0.513640046
1928,44,Texas,0.454129606
1928,45,Utah,0.477365047
